s,x
0.0,0.018591452887956904
0.0,0.018591452887956904
0.0,0.018591452887956904
0.0005,0.018471684335909205
0.0015,0.01801333338813233
0.0025,0.017554959578683044
0.0035,0.017096563598079675
0.0155,0.03754612582182771
0.0165,0.04141278212247091
0.0285,0.11375212351597935
0.0295,0.12194202370153169
0.0305,0.13310221674300302
0.0315,0.14732092304578823
0.0325,0.16154280619702124
0.0335,0.17576802539982464
0.0455,0.3723992365114417
0.0465,0.39094588421235416
0.0585,0.6394233511488905
0.0595,0.6622896119884474
0.06,0.6698098534530632
0.0605,0.6694607541656662
0.0615,0.6608805089191405
0.0625,0.6522692316968457
0.0635,0.6436275996428497
0.0755,0.5658345254151977
0.0765,0.5615106460840208
0.0885,0.5355197810049691
0.0895,0.5355118498578593
0.0905,0.5480955882210439
0.0915,0.5733691687190473
0.0925,0.598689226219763
0.0935,0.6240565057562137
0.1055,0.9543484933727494
0.1065,0.9840298740988933
0.1185,1.3660801643997162
0.1195,1.4000738256611034
0.12,1.408778633812735
0.12,1.408778633812735
0.12,1.408778633812735
0.1205,1.400841390727876
0.1215,1.368332457686101
0.1225,1.3356914568473561
0.1235,1.302922221494182
0.1355,0.9613812981978528
0.1365,0.9372270624091847
0.1485,0.6989797266611005
0.1495,0.6834260831754486
0.1505,0.6839980386475261
0.1515,0.7007000993543417
0.1525,0.7174706407224621
0.1535,0.7343098508996065
0.1655,0.9878966236540523
0.1665,1.0133218660201955
0.1785,1.3698540537787498
0.1795,1.403850826798999
0.18,1.412512350996577
0.18,1.412512350996577
0.18,1.412512350996577
0.1805,1.404464738314734
0.1815,1.371690933764137
0.1825,1.3387844242866873
0.1835,1.3057490618209873
0.1955,0.9606643885896164
0.1965,0.9361856550824676
0.2085,0.6936941217921174
0.2095,0.6777576099123725
0.2105,0.6778096203305266
0.2115,0.6938505579504379
0.2125,0.7099586116972477
0.2135,0.7261339401224349
0.2255,0.9714039199882663
0.2265,0.9961069123406391
0.2385,1.3436218911684688
0.2395,1.3768380465969414
0.24,1.3852694363078824
0.24,1.3852694363078824
0.24,1.3852694363078824
0.2405,1.3773132191357087
0.2415,1.345043650369916
0.2425,1.3126464909769866
0.2435,1.2801254414820173
0.2555,0.9408624214581136
0.2565,0.9168396501002061
0.2685,0.6794695500882569
0.2695,0.663930647988493
0.2705,0.6640553666266599
0.2715,0.6798446847049159
0.2725,0.6956984412102909
0.2735,0.7116167986538611
0.2855,0.9534530309480931
0.2865,0.9778407032219256
0.2985,1.321221744139518
0.2995,1.3540642303058874
0.3,1.3624434985388967
0.3,1.3624434985388967
0.3,1.3624434985388967
0.3005,1.3547044643666974
0.3015,1.3231373837412244
0.3025,1.2914468234824599
0.3035,1.2596363427541186
0.3155,0.9285501337491006
0.3165,0.9051795949854841
0.3285,0.675286259560901
0.3295,0.6603412519639105
0.3305,0.6609799214112388
0.3315,0.6772073015065918
0.3325,0.6934986525037334
0.3335,0.7098541726440665
0.3455,0.9565863238576409
0.3465,0.9813528197155413
0.3585,1.32892970196902
0.3595,1.3620926712053638
0.36,1.3705840114801995
0.36,1.3705840114801995
0.36,1.3705840114801995
0.3605,1.362860015081101
0.3615,1.3312256663938673
0.3625,1.299466315766786
0.3635,1.2675855471401174
0.3755,0.9353058042085913
0.3765,0.911806631111901
0.3885,0.6800196019070915
0.3895,0.6648876131026907
0.3905,0.6654466358303466
0.3915,0.681701075559376
0.3925,0.6980203328268147
0.3935,0.7144046092214997
0.4055,0.96113174320757
0.4065,0.9858686465778878
0.4185,1.3327403227785406
0.4195,1.3658153501579409
0.42,1.3742404203372764
0.42,1.3742404203372764
0.42,1.3742404203372764
0.4205,1.366406164569202
0.4215,1.334508093443205
0.4225,1.3024844148629886
0.4235,1.2703387306496146
0.4355,0.9345298887447869
0.4365,0.9107074482277376
0.4485,0.6746910976978886
0.4495,0.6591774895688891
0.4505,0.6592167905815697
0.4515,0.6748093058653644
0.4525,0.6904653034106099
0.4535,0.7061849553675877
0.4655,0.9445864966846386
0.4665,0.9686004260924613
0.4785,1.3064463184668136
0.4795,1.33874002304553
0.48,1.346935016117025
0.48,1.346935016117025
0.48,1.346935016117025
0.4805,1.339193031379909
0.4815,1.307801759868769
0.4825,1.2762898660272999
0.4835,1.244660806103691
0.4955,0.9147014630416715
0.4965,0.8913373143000782
0.5085,0.6604704623685037
0.5095,0.6453568119498414
0.5105,0.6454712580765016
0.5115,0.6608146989904274
0.5125,0.6762190209326621
0.5135,0.6916843989652582
0.5255,0.9266846665427972
0.5265,0.9503859911154299
0.5385,1.2841306376409318
0.5395,1.3160534063832678
0.54,1.324197160776176
0.54,1.324197160776176
0.54,1.324197160776176
0.5405,1.3166722689721748
0.5415,1.2859823311401684
0.5425,1.2551757514054862
0.5435,1.224255850721886
0.5555,0.9024565107138387
0.5565,0.8797432027746331
0.5685,0.6563365203288474
0.5695,0.6418153903597711
0.5705,0.6424435085399228
0.5715,0.6582258265137716
0.5725,0.6740685799856309
0.5735,0.689971978432374
0.5855,0.9298785637361168
0.5865,0.9539595873117019
0.5985,1.2919106863899101
0.5995,1.3241548313223248
0.6,1.332410673410182
0.6,1.332410673410182
0.6,1.332410673410182
0.6005,1.32489997471552
0.6015,1.2941402240616027
0.6025,1.2632623391651294
0.6035,1.2322696652588991
0.6155,0.9092470742334877
0.6165,0.8864026644369443
0.6285,0.6610727847563916
0.6295,0.6463622238617381
0.6305,0.6469082365033294
0.6315,0.6627151266726863
0.6325,0.6785832743540111
0.6335,0.6945128922669443
0.6455,0.9343841259821355
0.6465,0.9584330381335648
0.6585,1.295648811053035
0.6595,1.3278025130496847
0.66,1.3359912871348159
0.66,1.3359912871348159
0.66,1.3359912871348159
0.6605,1.3283704410881885
0.6615,1.2973481029728542
0.6625,1.2662070556312925
0.6635,1.2349506614329189
0.6755,0.9084134227982122
0.6765,0.8852469588444589
0.6885,0.6557024248140264
0.6895,0.6406114758256014
0.6905,0.640637996222951
0.6915,0.6557821907400526
0.6925,0.670986337365164
0.6935,0.6862506195692532
0.7055,0.9177878329824457
0.7065,0.9411130778325789
0.7185,1.2692948545209908
0.7195,1.3006665583132135
0.72,1.3086253162746782
0.72,1.3086253162746782
0.72,1.3086253162746782
0.7205,1.3010975978066968
0.7215,1.2705845627135999
0.7225,1.2399576734833158
0.7235,1.2092201526707975
0.7355,0.8885595069908131
0.7365,0.865853601407849
0.7485,0.6414858700777025
0.7495,0.6267971628912603
0.7505,0.6269012030156499
0.7515,0.6417988071270657
0.7525,0.6567538383857212
0.7535,0.6717664821797368
0.7655,0.8999341523247194
0.7665,0.9229494452325462
0.7785,1.2470619150826332
0.7795,1.2780653533063
0.78,1.2859737342242836
0.78,1.2859737342242836
0.78,1.2859737342242836
0.7805,1.2786630184119923
0.7815,1.2488501831122463
0.7825,1.2189273448428974
0.7835,1.188897596786578
0.7955,0.8763804178903944
0.7965,0.854323983557487
0.8085,0.6374000886669547
0.8095,0.6233025493131917
0.8105,0.6239199770635736
0.8115,0.6392572404524899
0.8125,0.6546515067160169
0.8135,0.6701029943661159
0.8255,0.9031869649254336
0.8265,0.9265827971774664
0.8385,1.2549119050523538
